variable,y,merger,geography,segment,product,year,date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,order
v12,0.32127640599709,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,0.16467453501648,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,36.115273,79516337,334607249.460336,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
v13,0.16666468503068,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,01/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,0.16467453501648,6708141,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,370,0,546848,63013,333902,732,652096,98.71201,36.115273,97518163.5,416524956.074308,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
v13,0.24080772874172,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,01/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,0.16467453501648,6708141,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,370,0,546848,63013,333902,732,652096,98.71201,36.115273,83963784.5,353527794.465356,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
v13,0.29829477897033,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,0.16467453501648,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,36.115273,79516337,334607249.460336,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
v14,0.22793016768768,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,01/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,0.16467453501648,6708141,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,370,0,546848,63013,333902,732,652096,98.71201,36.115273,97518163.5,416524956.074308,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1
v14,0.24414398624988,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,01/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,0.16467453501648,6708141,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,370,0,546848,63013,333902,732,652096,98.71201,36.115273,83963784.5,353527794.465356,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1
v14,0.30120923456087,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,0.16467453501648,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,36.115273,79516337,334607249.460336,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1
v15,0.12749787157204,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,01/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,0.16467453501648,6708141,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,370,0,546848,63013,333902,732,652096,98.71201,36.115273,97518163.5,416524956.074308,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
v15,0.09083226207473,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,01/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,0.16467453501648,6708141,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,370,0,546848,63013,333902,732,652096,98.71201,36.115273,83963784.5,353527794.465356,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
v15,0.10533060925376,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,0.16467453501648,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,36.115273,79516337,334607249.460336,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
v16,0.08682966858998,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,01/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,0.16467453501648,6708141,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,370,0,546848,63013,333902,732,652096,98.71201,36.115273,97518163.5,416524956.074308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
v16,0.08563118890925,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,01/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,0.16467453501648,6708141,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,370,0,546848,63013,333902,732,652096,98.71201,36.115273,83963784.5,353527794.465356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
v16,0.13918498497687,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,0.16467453501648,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,36.115273,79516337,334607249.460336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
v2,55.75,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,01/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,0.16467453501648,6708141,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,370,0,546848,63013,333902,732,652096,98.71201,36.115273,97518163.5,416524956.074308,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
v2,55.75,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,01/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,0.16467453501648,6708141,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,370,0,546848,63013,333902,732,652096,98.71201,36.115273,83963784.5,353527794.465356,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
v2,55.75,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,0.16467453501648,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,36.115273,79516337,334607249.460336,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
v3,29356524.3566135,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,01/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,6.07258432458864,6708141,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,97518163.5,416524956.074308,1,1,0,0,0,1,-1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-1,0,0,1
v3,27375442.1509293,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,01/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,6.07258432458864,6708141,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,83963784.5,353527794.465356,1,1,0,0,0,1,-1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-1,0,0,1
v3,24894947.4653999,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,6.07258432458864,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,79516337,334607249.460336,1,1,0,0,0,1,-1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-1,0,0,1
v4,8762199.18694241,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,01/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,6.07258432458864,6708141,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,97518163.5,416524956.074308,0,0,1,0,0,1,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,-1,0,0,1
v4,9532008.65284259,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,01/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,6.07258432458864,6708141,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,83963784.5,353527794.465356,0,0,1,0,0,1,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,-1,0,0,1
v4,9353438.97061019,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,6.07258432458864,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,79516337,334607249.460336,0,0,1,0,0,1,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,-1,0,0,1
v5,2618861.54116785,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,01/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,6.07258432458864,6708141,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,97518163.5,416524956.074308,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1
v5,2222772.80426397,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,01/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,6.07258432458864,6708141,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,83963784.5,353527794.465356,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1
v5,2103811.65456818,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,6.07258432458864,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,79516337,334607249.460336,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1
v6,2529382919.05678,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,01/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,6.07258432458864,6708141,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,97518163.5,416524956.074308,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1
v6,2146827342.97669,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,01/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,6.07258432458864,6708141,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,83963784.5,353527794.465356,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1
v6,2031930737.96653,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,6.07258432458864,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,0.02768911645774,79516337,334607249.460336,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1
v9,0.1259229124119,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,01/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,0.16467453501648,6708141,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,370,0,546848,63013,333902,732,652096,98.71201,36.115273,97518163.5,416524956.074308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
v9,0.0825702677497,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,01/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,0.16467453501648,6708141,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,370,0,546848,63013,333902,732,652096,98.71201,36.115273,83963784.5,353527794.465356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
v9,0.11212589519729,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,01/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,0.16467453501648,6708141,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,370,0,546848,63013,333902,732,652096,98.71201,36.115273,79516337,334607249.460336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
v1,84603491.7626273,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,02/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,0.1748764090195,6316804,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,6434,0,27741,258079,309113,962,195577,98.81533,34.14064,97518163.5,441367020.674611,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
v1,77914762.0512382,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,02/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,0.1748764090195,6316804,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,6434,0,27741,258079,309113,962,195577,98.81533,34.14064,83963784.5,319566394.717209,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
v1,77262676.0468077,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,02/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,0.1748764090195,6316804,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,6434,0,27741,258079,309113,962,195577,98.81533,34.14064,79516337,343726584.60818,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
v10,0.19655166175786,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,02/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,0.1748764090195,6316804,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,6434,0,27741,258079,309113,962,195577,98.81533,34.14064,97518163.5,441367020.674611,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2
v10,0.22237412114528,merger,DOMESTIC AIR TRAVEL,AGE 30-49,DELTA,PRIMER,02/01/13,78413054.7456107,55.75,27375442.1509293,9532008.65284259,2222772.80426397,2146827342.97669,0.1748764090195,6316804,0.0825702677497,0.2407135024399,0.13787289519005,0.29525396640955,0.24080772874172,0.24414398624988,0.09083226207473,0.08563118890925,6434,0,27741,258079,309113,962,195577,98.81533,34.14064,83963784.5,319566394.717209,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2
v10,0.27947293075526,merger,DOMESTIC AIR TRAVEL,AGE 50+,DELTA,PRIMER,02/01/13,77554334.6105083,55.75,24894947.4653999,9353438.97061019,2103811.65456818,2031930737.96653,0.1748764090195,6316804,0.11212589519729,0.27784663760292,0.15149375645454,0.32127640599709,0.29829477897033,0.30120923456087,0.10533060925376,0.13918498497687,6434,0,27741,258079,309113,962,195577,98.81533,34.14064,79516337,343726584.60818,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2
v11,0.15368572138142,merger,DOMESTIC AIR TRAVEL,AGE 18-29,DELTA,PRIMER,02/01/13,82950967.3914429,55.75,29356524.3566135,8762199.18694241,2618861.54116785,2529382919.05678,5.71832419024851,6316804,0.1259229124119,0.19580804967359,0.15742888794144,0.21667131116831,0.16666468503068,0.22793016768768,0.12749787157204,0.08682966858998,6434,0,27741,258079,309113,962,195577,98.81533,34.14064,97518163.5,441367020.674611,0,0,0,0,0,1,-1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2
